group,x,coverage,qc_status
5104407_barcode26,22860,23.552820787212,GISAID Bad
522816_barcode74,17572,41.2366652175367,GISAID Bad
90472084_barcode56,17217,42.4238370732034,GISAID Bad
5368697_barcode73,13796,53.8641607865432,GISAID Bad
5424009_barcode53,12727,57.4390529378323,GISAID Bad
5132479_barcode18,10267,65.6656522756914,GISAID Bad
5307893_barcode42,6658,77.7346754506237,GISAID Bad
5115668_barcode58,6587,77.972109821757,GISAID Bad
5118551_barcode89,4928,83.5200481557034,Mediocre
5372612_barcode86,3543,88.1516904658396,Mediocre
5408445_barcode28,3305,88.9475972310471,Mediocre
5143152_barcode62,3149,89.4692840183259,Mediocre
90483864_barcode79,2446,91.8202187071531,Good
916437_barcode81,2403,91.964016988262,Good
90420141_barcode55,2154,92.7967093602649,Good
694884_barcode45,2026,93.2247600575193,Good
487331_barcode61,1897,93.6561549008461,Good
756048_barcode10,1702,94.3082633849447,Good
5232531_barcode47,1528,94.8901448015249,Good
671993_barcode46,1396,95.3315720830686,Good
417538_barcode19,1172,96.0806608032639,Good
5426359_barcode13,1088,96.3615690733371,Good
486910_barcode72,1076,96.4016988262047,Good
0059999_barcode43,999,96.6591980737719,Good
5219130_barcode80,993,96.6792629502057,Good
417538_barcode51,954,96.8096846470254,Good
601535_barcode71,906,96.9702036584958,Good
5096871_barcode64,881,97.0538073103033,Good
987499_barcode31,806,97.3046182657258,Good
412285_barcode27,794,97.3447480185934,Good
952119_barcode69,785,97.3748453332442,Good
5150347_barcode78,715,97.6089355583052,Good
834572_barcode41,688,97.6992275022573,Good
856030_barcode44,674,97.7460455472695,Good
5237425_barcode25,671,97.7560779854864,Good
5397005_barcode52,663,97.7828311540648,Good
5400363_barcode21,661,97.7895194462094,Good
90404754_barcode83,632,97.8864996823061,Good
0055219_barcode49,616,97.9400060194629,Good
5403398_barcode23,614,97.9466943116075,Good
5319459_barcode57,609,97.963415041969,Good
90483149_barcode75,604,97.9801357723305,Good
604425_barcode76,554,98.1473430759456,Good
5429269_barcode09,523,98.2510116041869,Good
5219728_barcode90,517,98.2710764806207,Good
5204189_barcode68,424,98.5820820653446,Good
5228872_barcode65,409,98.6322442564291,Good
5093763_barcode60,400,98.6623415710798,Good
213911_barcode22,397,98.6723740092967,Good
0055322_barcode50,389,98.6991271778751,Good
5012842_barcode82,389,98.6991271778751,Good
5269074_barcode77,389,98.6991271778751,Good
5199025_barcode14,386,98.709159616092,Good
460057_barcode66,364,98.7827308296826,Good
856591_barcode63,357,98.8061398521887,Good
5344795_barcode20,354,98.8161722904056,Good
5008594_barcode67,351,98.8262047286225,Good
5104106_barcode54,343,98.852957897201,Good
856030_barcode91,334,98.8830552118517,Good
5290006_barcode29,332,98.8897435039963,Good
5114392_barcode15,331,98.8930876500686,Good
621588_barcode12,322,98.9231849647193,Good
785938_barcode16,295,99.0134769086714,Good
5323713_barcode11,292,99.0235093468883,Good
5363212_barcode85,206,99.3111059091061,Good
5425715_barcode84,195,99.3478915159014,Good
5201619_barcode59,148,99.5050663812995,Good
370962_barcode70,127,99.5752934488178,Good
939858_barcode30,126,99.5786375948901,Good
